date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2022-01-26,1.9279,4193.9385,8085.49,0.00,8085.49,8500.00,-414.51,-0.0488,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-27,1.8826,4193.9385,7895.51,0.00,7895.51,8500.00,-604.49,-0.0711,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-28,1.8546,4193.9385,7778.08,0.00,7778.08,8500.00,-721.92,-0.0849,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-07,1.8659,4461.5845,8324.87,0.00,8324.87,9000.00,-675.13,-0.0750,500.00,0.00,267.6460,0.0000,"[定投日] NAV=1.8659, MA250=2.0608, 偏离度=-9.46%, 原始因子=1.19, 生效因子=1.19；计划买入 594.56 元，实际买入 500.00 元，资金池剩余 0.00 元"
2022-02-08,1.8518,4461.5845,8261.96,0.00,8261.96,9000.00,-738.04,-0.0820,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-09,1.8721,4461.5845,8352.53,0.00,8352.53,9000.00,-647.47,-0.0719,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-10,1.8597,4461.5845,8297.21,0.00,8297.21,9000.00,-702.79,-0.0781,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-11,1.8315,4461.5845,8171.39,0.00,8171.39,9000.00,-828.61,-0.0921,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-14,1.8207,4461.5845,8123.21,0.00,8123.21,9000.00,-876.79,-0.0974,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-15,1.8540,4461.5845,8271.78,0.00,8271.78,9000.00,-728.22,-0.0809,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-16,1.8527,4461.5845,8265.98,0.00,8265.98,9000.00,-734.02,-0.0816,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-17,1.8552,4461.5845,8277.13,0.00,8277.13,9000.00,-722.87,-0.0803,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-18,1.8550,4461.5845,8276.24,0.00,8276.24,9000.00,-723.76,-0.0804,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-21,1.8575,4461.5845,8287.39,0.00,8287.39,9000.00,-712.61,-0.0792,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-02-22,1.8249,4461.5845,8141.95,0.00,8141.95,9000.00,-858.05,-0.0953,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
