date,product_code,action,amount,shares,fee,nav,nav_date,note
2025-11-28,019767,buy,69.92 ,39.11 ,0.08 ,1.7880 ,2025-11-27,景顺长城科创50指数增强A
2025-12-05,019767,buy,59.93 ,33.17 ,0.07 ,1.8068 ,2025-12-04,景顺长城科创50指数增强A
2025-12-12,019767,buy,49.94 ,27.57 ,0.06 ,1.8114 ,2025-12-11,景顺长城科创50指数增强A
2025-10-21,000307,buy,139.90 ,43.62 ,0.10 ,3.2075 ,2025-10-20,易方达黄金ETF联接A
2025-10-31,000307,buy,111.92 ,37.47 ,0.08 ,2.9866 ,2025-10-30,易方达黄金ETF联接A
2025-11-07,000307,buy,125.91 ,41.67 ,0.09 ,3.0214 ,2025-11-06,易方达黄金ETF联接A
2025-11-14,000307,buy,125.91 ,39.90 ,0.09 ,3.1556 ,2025-11-13,易方达黄金ETF联接A
2025-11-21,000307,buy,125.91 ,41.12 ,0.09 ,3.0621 ,2025-11-20,易方达黄金ETF联接A
2025-11-28,000307,buy,125.91 ,40.54 ,0.09 ,3.1062 ,2025-11-27,易方达黄金ETF联接A
2025-12-05,000307,buy,125.91 ,40.30 ,0.09 ,3.1242 ,2025-12-04,易方达黄金ETF联接A
2025-12-12,000307,buy,125.91 ,40.17 ,0.09 ,3.1341 ,2025-12-11,易方达黄金ETF联接A
2025-10-31,013308,buy,79.95 ,53.72 ,0.05 ,1.4884 ,2025-10-30,易方达恒生科技ETF联接(QDII)A
2025-11-07,013308,buy,79.95 ,54.70 ,0.05 ,1.4617 ,2025-11-06,易方达恒生科技ETF联接(QDII)A
2025-11-14,013308,buy,79.95 ,54.36 ,0.05 ,1.4707 ,2025-11-13,易方达恒生科技ETF联接(QDII)A
2025-11-21,013308,buy,79.95 ,58.18 ,0.05 ,1.3741 ,2025-11-20,易方达恒生科技ETF联接(QDII)A
2025-11-28,013308,buy,79.95 ,58.02 ,0.05 ,1.3779 ,2025-11-27,易方达恒生科技ETF联接(QDII)A
2025-12-05,013308,buy,79.95 ,57.93 ,0.05 ,1.3802 ,2025-12-04,易方达恒生科技ETF联接(QDII)A
2025-12-12,013308,buy,79.95 ,58.75 ,0.05 ,1.3608 ,2025-12-11,易方达恒生科技ETF联接(QDII)A
2025-10-21,020602,buy,99.88 ,88.93 ,0.12 ,1.1231 ,2025-10-20,易方达红利低波ETF联接A
2025-10-31,020602,buy,79.90 ,71.07 ,0.10 ,1.1243 ,2025-10-30,易方达红利低波ETF联接A
2025-11-07,020602,buy,79.90 ,69.65 ,0.10 ,1.1471 ,2025-11-06,易方达红利低波ETF联接A
2025-11-14,020602,buy,79.90 ,68.45 ,0.10 ,1.1673 ,2025-11-13,易方达红利低波ETF联接A
2025-11-21,020602,buy,79.90 ,69.25 ,0.10 ,1.1538 ,2025-11-20,易方达红利低波ETF联接A
2025-11-28,020602,buy,79.90 ,70.39 ,0.10 ,1.1351 ,2025-11-27,易方达红利低波ETF联接A
2025-12-05,020602,buy,79.90 ,70.64 ,0.10 ,1.1311 ,2025-12-04,易方达红利低波ETF联接A
2025-12-12,020602,buy,79.90 ,72.14 ,0.10 ,1.1075 ,2025-12-11,易方达红利低波ETF联接A
2025-12-15,020602,dividend,,5.85 ,,1.0951,2025-12-15,易方达红利低波ETF联接A
2025-10-22,012080,buy,189.72 ,162.35 ,0.28 ,1.1686 ,2025-10-21,易方达中证500指数量化增强A
2025-10-22,110020,buy,89.89 ,48.74 ,0.11 ,1.8442 ,2025-10-21,易方达沪深300ETF联接A
2025-12-16,161125,buy,9.99 ,3.42 ,0.01 ,2.9240 ,2025-12-12,易方达标普500指数(QDII-LOF)A
2025-12-15,161125,buy,9.99 ,3.38 ,0.01 ,2.9557 ,2025-12-11,易方达标普500指数(QDII-LOF)A
2025-12-12,161125,buy,9.99 ,3.38 ,0.01 ,2.9524 ,2025-12-10,易方达标普500指数(QDII-LOF)A
2025-12-11,161125,buy,9.99 ,3.40 ,0.01 ,2.9346 ,2025-12-09,易方达标普500指数(QDII-LOF)A
2025-12-10,161125,buy,9.99 ,3.40 ,0.01 ,2.9368 ,2025-12-08,易方达标普500指数(QDII-LOF)A
2025-12-09,161125,buy,9.99 ,3.39 ,0.01 ,2.9458 ,2025-12-05,易方达标普500指数(QDII-LOF)A
2025-12-08,161125,buy,9.99 ,3.40 ,0.01 ,2.9397 ,2025-12-04,易方达标普500指数(QDII-LOF)A
2025-12-05,161125,buy,9.99 ,3.40 ,0.01 ,2.9375 ,2025-12-03,易方达标普500指数(QDII-LOF)A
2025-12-04,161125,buy,9.99 ,3.41 ,0.01 ,2.9307 ,2025-12-02,易方达标普500指数(QDII-LOF)A
2025-12-03,161125,buy,9.99 ,3.42 ,0.01 ,2.9227 ,2025-12-01,易方达标普500指数(QDII-LOF)A
2025-12-02,161125,buy,9.99 ,3.40 ,0.01 ,2.9383 ,2025-11-28,易方达标普500指数(QDII-LOF)A
2025-11-28,161125,buy,9.99 ,3.42 ,0.01 ,2.9241 ,2025-11-26,易方达标普500指数(QDII-LOF)A
