date,nav,units,fund_value,cash,total_value,fund_cost,total_deposit,unrealized_gain,unrealized_gain_pct,drawdown_pct,last_peak_nav,tp_sell_cash,dip_buy_cash,note
2016-02-04,2.4414,1036.9241647552074,2531.546655833363,64.80236919066914,2596.349025024032,2935.1976308093317,3000.0,-403.6509749759689,-13.7520884706039,-22.28800611153553,3.1416,0.0,43.201579460446105,回撤 -22.29%，逢低买入 17.70 份，花费 43.20
2016-02-05,2.4221,1047.6260134304346,2537.4549671298555,38.88142151440148,2576.336388644257,2961.1185784855993,3000.0,-423.6636113557438,-14.307553045458162,-22.902342755283932,3.1416,0.0,25.92094767626766,回撤 -22.90%，逢低买入 10.70 份，花费 25.92
2016-02-15,2.4449,1053.9872423583092,2576.8934088418305,23.32885290864089,2600.2222617504713,2976.6711470913597,3000.0,-399.7777382495292,-13.430362928742401,-22.176597911892028,3.1416,0.0,15.552568605760593,回撤 -22.18%，逢低买入 6.36 份，花费 15.55
2016-02-16,2.5532,1057.6420837978583,2700.3717683526916,13.997311745184534,2714.369080097876,2986.002688254816,3000.0,-285.63091990212433,-9.565661847044844,-18.729309905780493,3.1416,0.0,9.331541163456356,回撤 -18.73%，逢低买入 3.65 份，花费 9.33
2016-02-17,2.5792,1059.812882765784,2733.46938722951,8.39838704711072,2741.867774276621,2991.60161295289,3000.0,-258.13222572337963,-8.628562860968232,-17.901706137000247,3.1416,0.0,5.598924698073814,回撤 -17.90%，逢低买入 2.17 份，花费 5.60
2016-02-18,2.57,1061.1200247186416,2727.0784635269088,5.039032228266432,2732.1174957551752,2994.960967771734,3000.0,-267.8825042448252,-8.944440582947935,-18.19455054749173,3.1416,0.0,3.359354818844288,回撤 -18.19%，逢低买入 1.31 份，花费 3.36
2016-02-19,2.5768,1061.9022402151127,2736.3096925863024,3.023419336959859,2739.333111923262,2996.9765806630407,3000.0,-260.66688807673836,-8.697661828877866,-17.978100331041507,3.1416,0.0,2.015612891306573,回撤 -17.98%，逢低买入 0.78 份，花费 2.02
2016-02-22,2.6248,1062.3629868376302,2788.4903678514115,1.8140516021759154,2790.3044194535873,2998.1859483978246,3000.0,-209.6955805464131,-6.994081893368574,-16.45021645021645,3.1416,0.0,1.2093677347839438,回撤 -16.45%，逢低买入 0.46 份，花费 1.21
2016-02-23,2.6427,1062.6375623251506,2808.2322859566757,1.0884309613055492,2809.3207169179814,2998.911569038695,3000.0,-190.67928308201908,-6.358282953409714,-15.880443086325435,3.1416,0.0,0.7256206408703663,回撤 -15.88%，逢低买入 0.27 份，花费 0.73
2016-02-24,2.6306,1062.8030653984124,2795.8097438370633,0.6530585767833295,2796.4628024138465,2999.346941423217,3000.0,-203.53719758615352,-6.786050482361781,-16.265597147950093,3.1416,0.0,0.4353723845222197,回撤 -16.27%，逢低买入 0.17 份，花费 0.44
2016-02-25,2.4586,1062.9093142517083,2613.26884001925,0.39183514606999764,2613.6606751653203,2999.6081648539302,3000.0,-386.33932483468016,-12.879659728939744,-21.740514387573207,3.1416,0.0,0.2612234307133318,回撤 -21.74%，逢低买入 0.11 份，花费 0.26
2016-02-26,2.4602,1062.9730221040895,2615.126228980481,0.23510108764199858,2615.3613300681227,2999.764898912358,3000.0,-384.6386699318773,-12.822293842805413,-21.689584924879043,3.1416,0.0,0.15673405842799906,回撤 -21.69%，逢低买入 0.06 份，花费 0.16
2016-02-29,2.3648,1063.012788864516,2513.8126431068076,0.14106065258519915,2513.9537037593927,2999.858939347415,3000.0,-486.04629624060726,-16.20230504392787,-24.72625413801885,3.1416,0.0,0.09404043505679943,回撤 -24.73%，逢低买入 0.04 份，花费 0.09
2016-03-01,2.3945,1146.5610971798362,2745.4405471971177,300.08463639155116,3045.525183588669,3199.915363608449,3500.0,-454.4748164113312,-14.202713658614819,-23.780875986758343,3.1416,0.0,200.0564242610341,回撤 -23.78%，逢低买入 83.55 份，花费 200.06
2016-03-02,2.4863,1194.8392030225023,2970.7287104748475,180.0507818349307,3150.779492309778,3319.9492181650694,3500.0,-349.2205076902219,-10.518850884208268,-20.858798064680418,3.1416,0.0,120.03385455662047,回撤 -20.86%，逢低买入 48.28 份，花费 120.03
2016-03-03,2.4833,1223.8410605242025,3039.164505599752,108.03046910095841,3147.19497470071,3391.9695308990417,3500.0,-352.8050252992898,-10.401184977796037,-20.95429080723199,3.1416,0.0,72.02031273397228,回撤 -20.95%，逢低买入 29.00 份，花费 72.02
2016-03-04,2.4469,1241.5010334043297,3037.8288786370545,64.81828146057504,3102.6471600976297,3435.181718539425,3500.0,-397.35283990237076,-11.567156338713799,-22.112936083524325,3.1416,0.0,43.21218764038337,回撤 -22.11%，逢低买入 17.66 份，花费 43.21
2016-03-07,2.476,1251.972484367266,3099.8838712933502,38.89096887634502,3138.7748401696954,3461.1090311236553,3500.0,-361.2251598303051,-10.436688257492792,-21.186656480774126,3.1416,0.0,25.927312584230016,回撤 -21.19%，逢低买入 10.47 份，花费 25.93
2016-03-08,2.4769,1258.2530720173681,3116.567034079819,23.33458132580701,3139.901615405626,3476.6654186741935,3500.0,-360.09838459437424,-10.357579497301634,-21.158008658008654,3.1416,0.0,15.556387550538009,回撤 -21.16%，逢低买入 6.28 份，花费 15.56
2016-03-09,2.4416,1262.0759064416484,3081.484533167929,14.000748795484206,3095.485281963413,3485.9992512045164,3500.0,-404.5147180365875,-11.603981782176678,-22.281639928698745,3.1416,0.0,9.333832530322805,回撤 -22.28%，逢低买入 3.82 份，花费 9.33
2016-03-10,2.4267,1264.3836904768375,3068.2799016801414,8.400449277290523,3076.680350957432,3491.5995507227103,3500.0,-423.3196490425689,-12.123946142533667,-22.7559205500382,3.1416,0.0,5.600299518193683,回撤 -22.76%，逢低买入 2.31 份，花费 5.60
2016-03-11,2.422,1265.771047913219,3065.6974780458168,5.040269566374313,3070.737747612191,3494.9597304336266,3500.0,-429.2622523878099,-12.28232327399522,-22.90552584670231,3.1416,0.0,3.3601797109162095,回撤 -22.91%，逢低买入 1.39 份，花费 3.36
2016-03-14,2.4841,1266.5826528512448,3146.3179679477776,3.0241617398245877,3149.342129687602,3496.9758382601763,3500.0,-350.6578703123987,-10.027460483880805,-20.928826075884892,3.1416,0.0,2.0161078265497254,回撤 -20.93%，逢低买入 0.81 份，花费 2.02
