date,nav,accum_nav,change_pct
2022-12-16,0.8852,0.8852,-0.73
2022-12-19,0.8673,0.8673,-2.02
2022-12-20,0.8596,0.8596,-0.89
2022-12-21,0.8530,0.8530,-0.77
2022-12-22,0.8452,0.8452,-0.91
2022-12-23,0.8414,0.8414,-0.45
2022-12-26,0.8553,0.8553,1.65
2022-12-27,0.8648,0.8648,1.11
2022-12-28,0.8638,0.8638,-0.12
2022-12-29,0.8648,0.8648,0.12
2022-12-30,0.8652,0.8652,0.05
2022-12-31,0.8652,0.8652,0.00
2023-01-03,0.8788,0.8788,1.57
2023-01-04,0.8775,0.8775,-0.15
2023-01-05,0.8883,0.8883,1.23
2023-01-06,0.8926,0.8926,0.48
2023-01-09,0.8976,0.8976,0.56
2023-01-10,0.8992,0.8992,0.18
2023-01-11,0.8947,0.8947,-0.50
2023-01-12,0.8942,0.8942,-0.06
2023-01-13,0.8990,0.8990,0.54
2023-01-16,0.9063,0.9063,0.81
2023-01-17,0.9071,0.9071,0.09
2023-01-18,0.9090,0.9090,0.21
2023-01-19,0.9135,0.9135,0.50
2023-01-20,0.9193,0.9193,0.63
2023-01-30,0.9252,0.9252,0.64
2023-01-31,0.9262,0.9262,0.11
2023-02-01,0.9354,0.9354,0.99
2023-02-02,0.9357,0.9357,0.03
2023-02-03,0.9318,0.9318,-0.42
2023-02-06,0.9263,0.9263,-0.59
2023-02-07,0.9279,0.9279,0.17
2023-02-08,0.9224,0.9224,-0.59
2023-02-09,0.9347,0.9347,1.33
2023-02-10,0.9315,0.9315,-0.34
2023-02-13,0.9370,0.9370,0.59
2023-02-14,0.9394,0.9394,0.26
2023-02-15,0.9378,0.9378,-0.17
2023-02-16,0.9224,0.9224,-1.64
2023-02-17,0.9164,0.9164,-0.65
2023-02-20,0.9291,0.9291,1.39
2023-02-21,0.9348,0.9348,0.61
2023-02-22,0.9330,0.9330,-0.19
2023-02-23,0.9328,0.9328,-0.02
2023-02-24,0.9299,0.9299,-0.31
2023-02-27,0.9267,0.9267,-0.34
2023-02-28,0.9328,0.9328,0.66
2023-03-01,0.9359,0.9359,0.33
2023-03-02,0.9320,0.9320,-0.42
2023-03-03,0.9310,0.9310,-0.11
2023-03-06,0.9343,0.9343,0.35
2023-03-07,0.9195,0.9195,-1.58
2023-03-08,0.9205,0.9205,0.11
2023-03-09,0.9186,0.9186,-0.21
2023-03-10,0.9058,0.9058,-1.39
2023-03-13,0.9092,0.9092,0.38
2023-03-14,0.9011,0.9011,-0.89
2023-03-15,0.9046,0.9046,0.39
2023-03-16,0.8919,0.8919,-1.40
2023-03-17,0.8962,0.8962,0.48
2023-03-20,0.8938,0.8938,-0.27
2023-03-21,0.9056,0.9056,1.32
2023-03-22,0.9110,0.9110,0.60
2023-03-23,0.9150,0.9150,0.44
2023-03-24,0.9157,0.9157,0.08
2023-03-27,0.9156,0.9156,-0.01
2023-03-28,0.9087,0.9087,-0.75
2023-03-29,0.9080,0.9080,-0.08
2023-03-30,0.9150,0.9150,0.77
2023-03-31,0.9198,0.9198,0.52
2023-04-03,0.9276,0.9276,0.85
2023-04-04,0.9229,0.9229,-0.51
2023-04-06,0.9230,0.9230,0.01
2023-04-07,0.9315,0.9315,0.92
2023-04-10,0.9320,0.9320,0.05
2023-04-11,0.9320,0.9320,0.00
2023-04-12,0.9310,0.9310,-0.11
2023-04-13,0.9264,0.9264,-0.49
2023-04-14,0.9306,0.9306,0.45
2023-04-17,0.9348,0.9348,0.45
2023-04-18,0.9361,0.9361,0.14
2023-04-19,0.9329,0.9329,-0.34
2023-04-20,0.9287,0.9287,-0.45
2023-04-21,0.9078,0.9078,-2.25
2023-04-24,0.8998,0.8998,-0.88
2023-04-25,0.8874,0.8874,-1.38
2023-04-26,0.8990,0.8990,1.31
2023-04-27,0.9034,0.9034,0.49
2023-04-28,0.9105,0.9105,0.79
2023-05-04,0.9076,0.9076,-0.32
2023-05-05,0.8984,0.8984,-1.01
2023-05-08,0.9013,0.9013,0.32
2023-05-09,0.8910,0.8910,-1.14
2023-05-10,0.8906,0.8906,-0.04
2023-05-11,0.8874,0.8874,-0.36
2023-05-12,0.8778,0.8778,-1.08
2023-05-15,0.8874,0.8874,1.09
2023-05-16,0.8827,0.8827,-0.53
2023-05-17,0.8818,0.8818,-0.10
2023-05-18,0.8814,0.8814,-0.05
2023-05-19,0.8837,0.8837,0.26
2023-05-22,0.8871,0.8871,0.38
2023-05-23,0.8805,0.8805,-0.74
2023-05-24,0.8762,0.8762,-0.49
2023-05-25,0.8761,0.8761,-0.01
2023-05-26,0.8807,0.8807,0.53
2023-05-29,0.8787,0.8787,-0.23
2023-05-30,0.8810,0.8810,0.26
2023-05-31,0.8786,0.8786,-0.27
2023-06-01,0.8784,0.8784,-0.02
2023-06-02,0.8858,0.8858,0.84
2023-06-05,0.8834,0.8834,-0.27
2023-06-06,0.8671,0.8671,-1.85
2023-06-07,0.8664,0.8664,-0.08
2023-06-08,0.8636,0.8636,-0.32
2023-06-09,0.8697,0.8697,0.71
2023-06-12,0.8775,0.8775,0.90
2023-06-13,0.8810,0.8810,0.40
2023-06-14,0.8821,0.8821,0.12
2023-06-15,0.8930,0.8930,1.24
2023-06-16,0.8979,0.8979,0.55
2023-06-19,0.8966,0.8966,-0.14
2023-06-20,0.8971,0.8971,0.06
2023-06-21,0.8826,0.8826,-1.62
2023-06-26,0.8696,0.8696,-1.47
2023-06-27,0.8783,0.8783,1.00
2023-06-28,0.8784,0.8784,0.01
2023-06-29,0.8798,0.8798,0.16
2023-06-30,0.8864,0.8864,0.75
2023-07-03,0.8928,0.8928,0.72
2023-07-04,0.8954,0.8954,0.29
2023-07-05,0.8888,0.8888,-0.74
2023-07-06,0.8843,0.8843,-0.51
2023-07-07,0.8822,0.8822,-0.24
2023-07-10,0.8850,0.8850,0.32
2023-07-11,0.8923,0.8923,0.82
2023-07-12,0.8856,0.8856,-0.75
2023-07-13,0.8965,0.8965,1.23
2023-07-14,0.8928,0.8928,-0.41
2023-07-17,0.8884,0.8884,-0.49
2023-07-18,0.8871,0.8871,-0.15
2023-07-19,0.8847,0.8847,-0.27
2023-07-20,0.8760,0.8760,-0.98
2023-07-21,0.8751,0.8751,-0.10
2023-07-24,0.8739,0.8739,-0.14
2023-07-25,0.8875,0.8875,1.56
2023-07-26,0.8854,0.8854,-0.24
2023-07-27,0.8802,0.8802,-0.59
2023-07-28,0.8908,0.8908,1.20
2023-07-31,0.8980,0.8980,0.81
2023-08-01,0.8979,0.8979,-0.01
2023-08-02,0.8959,0.8959,-0.22
2023-08-03,0.9000,0.9000,0.46
2023-08-04,0.9035,0.9035,0.39
2023-08-07,0.8972,0.8972,-0.70
2023-08-08,0.8945,0.8945,-0.30
2023-08-09,0.8899,0.8899,-0.51
2023-08-10,0.8924,0.8924,0.28
2023-08-11,0.8762,0.8762,-1.82
2023-08-14,0.8759,0.8759,-0.03
2023-08-15,0.8712,0.8712,-0.54
2023-08-16,0.8645,0.8645,-0.77
2023-08-17,0.8699,0.8699,0.62
2023-08-18,0.8578,0.8578,-1.39
2023-08-21,0.8476,0.8476,-1.19
2023-08-22,0.8504,0.8504,0.33
2023-08-23,0.8352,0.8352,-1.79
2023-08-24,0.8423,0.8423,0.85
2023-08-25,0.8324,0.8324,-1.18
2023-08-28,0.8413,0.8413,1.07
2023-08-29,0.8621,0.8621,2.47
2023-08-30,0.8648,0.8648,0.31
2023-08-31,0.8594,0.8594,-0.62
2023-09-01,0.8605,0.8605,0.13
2023-09-04,0.8698,0.8698,1.08
2023-09-05,0.8656,0.8656,-0.48
2023-09-06,0.8658,0.8658,0.02
2023-09-07,0.8527,0.8527,-1.51
2023-09-08,0.8541,0.8541,0.16
2023-09-11,0.8636,0.8636,1.11
2023-09-12,0.8622,0.8622,-0.16
2023-09-13,0.8543,0.8543,-0.92
2023-09-14,0.8518,0.8518,-0.29
2023-09-15,0.8518,0.8518,0.00
2023-09-18,0.8527,0.8527,0.11
2023-09-19,0.8489,0.8489,-0.45
2023-09-20,0.8432,0.8432,-0.67
2023-09-21,0.8375,0.8375,-0.68
2023-09-22,0.8483,0.8483,1.29
2023-09-25,0.8444,0.8444,-0.46
2023-09-26,0.8426,0.8426,-0.21
2023-09-27,0.8476,0.8476,0.59
2023-09-28,0.8524,0.8524,0.57
2023-10-09,0.8475,0.8475,-0.57
2023-10-10,0.8423,0.8423,-0.61
2023-10-11,0.8431,0.8431,0.09
2023-10-12,0.8487,0.8487,0.66
2023-10-13,0.8437,0.8437,-0.59
2023-10-16,0.8362,0.8362,-0.89
2023-10-17,0.8384,0.8384,0.26
2023-10-18,0.8282,0.8282,-1.22
2023-10-19,0.8199,0.8199,-1.00
2023-10-20,0.8140,0.8140,-0.72
2023-10-23,0.7964,0.7964,-2.16
2023-10-24,0.8037,0.8037,0.92
2023-10-25,0.8080,0.8080,0.54
2023-10-26,0.8126,0.8126,0.57
2023-10-27,0.8274,0.8274,1.82
2023-10-30,0.8336,0.8336,0.75
2023-10-31,0.8297,0.8297,-0.47
2023-11-01,0.8270,0.8270,-0.33
2023-11-02,0.8191,0.8191,-0.96
2023-11-03,0.8279,0.8279,1.07
2023-11-06,0.8408,0.8408,1.56
2023-11-07,0.8401,0.8401,-0.08
2023-11-08,0.8387,0.8387,-0.17
2023-11-09,0.8362,0.8362,-0.30
2023-11-10,0.8341,0.8341,-0.25
2023-11-13,0.8376,0.8376,0.42
2023-11-14,0.8406,0.8406,0.36
2023-11-15,0.8456,0.8456,0.59
2023-11-16,0.8376,0.8376,-0.95
2023-11-17,0.8409,0.8409,0.39
2023-11-20,0.8435,0.8435,0.31
2023-11-21,0.8405,0.8405,-0.36
2023-11-22,0.8301,0.8301,-1.24
2023-11-23,0.8388,0.8388,1.05
2023-11-24,0.8315,0.8315,-0.87
2023-11-27,0.8314,0.8314,-0.01
2023-11-28,0.8351,0.8351,0.45
2023-11-29,0.8302,0.8302,-0.59
2023-11-30,0.8286,0.8286,-0.19
2023-12-01,0.8292,0.8292,0.07
2023-12-04,0.8262,0.8262,-0.36
2023-12-05,0.8137,0.8137,-1.51
2023-12-06,0.8175,0.8175,0.47
2023-12-07,0.8182,0.8182,0.09
2023-12-08,0.8209,0.8209,0.33
2023-12-11,0.8318,0.8318,1.33
2023-12-12,0.8333,0.8333,0.18
2023-12-13,0.8245,0.8245,-1.06
2023-12-14,0.8231,0.8231,-0.17
2023-12-15,0.8176,0.8176,-0.67
2023-12-18,0.8093,0.8093,-1.02
2023-12-19,0.8089,0.8089,-0.05
2023-12-20,0.8000,0.8000,-1.10
2023-12-21,0.8043,0.8043,0.54
2023-12-22,0.8021,0.8021,-0.27
2023-12-25,0.8032,0.8032,0.14
2023-12-26,0.7969,0.7969,-0.78
2023-12-27,0.8014,0.8014,0.56
2023-12-28,0.8161,0.8161,1.83
2023-12-29,0.8234,0.8234,0.89
2023-12-31,0.8233,0.8233,-0.01
2024-01-02,0.8206,0.8206,-0.33
2024-01-03,0.8204,0.8204,-0.02
2024-01-04,0.8151,0.8151,-0.65
2024-01-05,0.8055,0.8055,-1.18
2024-01-08,0.7914,0.7914,-1.75
2024-01-09,0.7947,0.7947,0.42
2024-01-10,0.7934,0.7934,-0.16
2024-01-11,0.8006,0.8006,0.91
2024-01-12,0.7996,0.7996,-0.12
2024-01-15,0.7999,0.7999,0.04
2024-01-16,0.8014,0.8014,0.19
2024-01-17,0.7837,0.7837,-2.21
2024-01-18,0.7837,0.7837,0.00
2024-01-19,0.7767,0.7767,-0.89
2024-01-22,0.7415,0.7415,-4.53
2024-01-23,0.7531,0.7531,1.56
2024-01-24,0.7624,0.7624,1.23
2024-01-25,0.7835,0.7835,2.77
2024-01-26,0.7772,0.7772,-0.80
2024-01-29,0.7636,0.7636,-1.75
2024-01-30,0.7467,0.7467,-2.21
2024-01-31,0.7318,0.7318,-2.00
2024-02-01,0.7284,0.7284,-0.46
2024-02-02,0.7102,0.7102,-2.50
2024-02-05,0.6965,0.6965,-1.93
2024-02-06,0.7453,0.7453,7.01
2024-02-07,0.7862,0.7862,5.49
2024-02-08,0.7944,0.7944,1.04
2024-02-19,0.7919,0.7919,-0.31
2024-02-20,0.7924,0.7924,0.06
2024-02-21,0.7935,0.7935,0.14
2024-02-22,0.7984,0.7984,0.62
2024-02-23,0.8006,0.8006,0.28
2024-02-26,0.8003,0.8003,-0.04
2024-02-27,0.8156,0.8156,1.91
2024-02-28,0.7986,0.7986,-2.08
2024-02-29,0.8206,0.8206,2.75
2024-03-01,0.8245,0.8245,0.48
2024-03-04,0.8263,0.8263,0.22
2024-03-05,0.8214,0.8214,-0.59
2024-03-06,0.8215,0.8215,0.01
2024-03-07,0.8121,0.8121,-1.14
2024-03-08,0.8216,0.8216,1.17
